candidate_id,rank,score,reasoning
CAND_0046064,1,0.8666,Excellent fit displaying 5 required capabilities with 8.9 years of experience and strong recruiter responsiveness (78%).
CAND_0094759,2,0.8612,"Strong technical match (5 capabilities, 8.6 YOE) but penalized for low platform availability (11% response rate)."
CAND_0086022,3,0.8273,Excellent fit displaying 6 required capabilities with 5.3 years of experience and strong recruiter responsiveness (55%).
CAND_0018499,4,0.8217,Excellent fit displaying 6 required capabilities with 7.2 years of experience and strong recruiter responsiveness (61%).
CAND_0055905,5,0.8061,Excellent fit displaying 6 required capabilities with 8.1 years of experience and strong recruiter responsiveness (87%).
CAND_0046525,6,0.7981,Excellent fit displaying 5 required capabilities with 6.1 years of experience and strong recruiter responsiveness (88%).
CAND_0071974,7,0.73,Excellent fit displaying 6 required capabilities with 7.8 years of experience and strong recruiter responsiveness (76%).
CAND_0005649,8,0.7233,Excellent fit displaying 6 required capabilities with 7.4 years of experience and strong recruiter responsiveness (57%).
CAND_0058575,9,0.7203,Excellent fit displaying 6 required capabilities with 5.8 years of experience and strong recruiter responsiveness (69%).
CAND_0079387,10,0.72,Excellent fit displaying 6 required capabilities with 6.9 years of experience and strong recruiter responsiveness (81%).
CAND_0041669,11,0.72,Excellent fit displaying 6 required capabilities with 8.0 years of experience and strong recruiter responsiveness (77%).
CAND_0028793,12,0.7146,Excellent fit displaying 6 required capabilities with 7.2 years of experience and strong recruiter responsiveness (57%).
CAND_0044883,13,0.7104,Excellent fit displaying 6 required capabilities with 6.3 years of experience and strong recruiter responsiveness (84%).
CAND_0005260,14,0.7102,Excellent fit displaying 5 required capabilities with 5.2 years of experience and strong recruiter responsiveness (86%).
CAND_0044855,15,0.6958,Excellent fit displaying 6 required capabilities with 6.6 years of experience and strong recruiter responsiveness (57%).
CAND_0053695,16,0.6939,Excellent fit displaying 6 required capabilities with 5.8 years of experience and strong recruiter responsiveness (60%).
CAND_0018722,17,0.6907,Excellent fit displaying 5 required capabilities with 6.6 years of experience and strong recruiter responsiveness (79%).
CAND_0098846,18,0.688,Excellent fit displaying 6 required capabilities with 7.6 years of experience and strong recruiter responsiveness (62%).
CAND_0030953,19,0.6825,Excellent fit displaying 6 required capabilities with 7.8 years of experience and strong recruiter responsiveness (63%).
CAND_0041568,20,0.675,Excellent fit displaying 5 required capabilities with 5.2 years of experience and strong recruiter responsiveness (52%).
CAND_0001610,21,0.6721,Excellent fit displaying 6 required capabilities with 3.0 years of experience and strong recruiter responsiveness (57%).
CAND_0079064,22,0.672,Excellent fit displaying 5 required capabilities with 5.2 years of experience and strong recruiter responsiveness (91%).
CAND_0060054,23,0.668,Excellent fit displaying 5 required capabilities with 6.4 years of experience and strong recruiter responsiveness (86%).
CAND_0018549,24,0.6658,Excellent fit displaying 5 required capabilities with 6.8 years of experience and strong recruiter responsiveness (73%).
CAND_0017960,25,0.6649,Excellent fit displaying 6 required capabilities with 7.7 years of experience and strong recruiter responsiveness (72%).
CAND_0053591,26,0.6647,Excellent fit displaying 5 required capabilities with 5.3 years of experience and strong recruiter responsiveness (81%).
CAND_0050876,27,0.6609,Excellent fit displaying 6 required capabilities with 6.0 years of experience and strong recruiter responsiveness (67%).
CAND_0057563,28,0.6575,Excellent fit displaying 5 required capabilities with 6.8 years of experience and strong recruiter responsiveness (83%).
CAND_0068811,29,0.6551,Excellent fit displaying 6 required capabilities with 8.0 years of experience and strong recruiter responsiveness (42%).
CAND_0083307,30,0.6548,Excellent fit displaying 6 required capabilities with 7.8 years of experience and strong recruiter responsiveness (70%).
CAND_0062247,31,0.6526,Excellent fit displaying 5 required capabilities with 7.3 years of experience and strong recruiter responsiveness (78%).
CAND_0011687,32,0.6516,Excellent fit displaying 5 required capabilities with 7.8 years of experience and strong recruiter responsiveness (89%).
CAND_0020877,33,0.6513,Excellent fit displaying 6 required capabilities with 5.1 years of experience and strong recruiter responsiveness (66%).
CAND_0052328,34,0.6488,Excellent fit displaying 6 required capabilities with 6.5 years of experience and strong recruiter responsiveness (79%).
